store_name,1st_tag,1st_score,2nd_tag,2nd_score
석촌호수,#계절명소,0.5,#산책하기좋은,0.36
석파정 서울미술관,#전시관람,0.59,#계절명소,0.23
선유도공원,#휴식하기좋은,0.36,#산책하기좋은,0.32
설악케이블카,#뷰맛집,0.27,#계절명소,0.21
섭지코지,#뷰맛집,0.35,#산책하기좋은,0.26
성산일출봉,#뷰맛집,0.35,#무료입장,0.14
성심당 본점,#디저트맛집,0.67,#웨이팅필수,0.43
세미원,#계절명소,0.51,#휴식하기좋은,0.26
소래포구종합어시장,#주차편함,0.15,#친절해요,0.08
소쇄원,#휴식하기좋은,0.14,#산책하기좋은,0.09
속초해수욕장,#뷰맛집,0.41,#계절명소,0.27
송도 센트럴파크,#휴식하기좋은,0.22,#산책하기좋은,0.21
송도해상케이블카,#뷰맛집,0.37,#웨이팅필수,0.15
순천 낙안읍성,#이색체험,0.17,#휴식하기좋은,0.15
순천드라마촬영장,#사진명소,0.12,#이색체험,0.11
순천만국가정원,#계절명소,0.32,#사진명소,0.16
스누피가든,#사진명소,0.31,#아이와함께,0.27
스카이라인루지 통영,#이색체험,0.39,#액티비티,0.32
스타필드 수원,#디저트맛집,0.08,#찐맛집,0.07
스타필드 안성,#아이와함께,0.2,#친절해요,0.13
스파크랜드,#아이와함께,0.31,#이색체험,0.25
시흥프리미엄아울렛,#친절해요,0.07,#아이와함께,0.05
아르떼뮤지엄 강릉,#사진명소,0.28,#전시관람,0.21
아르떼뮤지엄 제주,#사진명소,0.22,#이색체험,0.18
아침고요수목원,#계절명소,0.49,#사진명소,0.26
아쿠아플라넷 일산,#아이와함께,0.45,#이색체험,0.24
아쿠아필드 고양,#청결한,0.29,#아이와함께,0.16
아홉산숲,#산책하기좋은,0.39,#휴식하기좋은,0.37
안동하회마을,#계절명소,0.21,#휴식하기좋은,0.18
알파카월드,#아이와함께,0.43,#이색체험,0.33
양파이 장기동 라베니체점,#친절해요,0.38,#찐맛집,0.25
에델바이스 스위스 테마파크,#사진명소,0.26,#아이와함께,0.25
에버랜드,#아이와함께,0.26,#웨이팅필수,0.23
에코랜드 테마파크,#아이와함께,0.38,#이색체험,0.25
여수예술랜드,#사진명소,0.3,#뷰맛집,0.24
여수해상케이블카,#뷰맛집,0.38,#야경명소,0.33
여의도 한강공원,#계절명소,0.31,#휴식하기좋은,0.19
여주프리미엄아울렛,#가성비갑,0.09,#친절해요,0.06
영일대해수욕장,#뷰맛집,0.3,#휴식하기좋은,0.19
예술의전당,#전시관람,0.27,#디저트맛집,0.24
오동도,#계절명소,0.26,#뷰맛집,0.23
오산버드파크,#아이와함께,0.59,#이색체험,0.42
오설록 티 뮤지엄,#찐맛집,0.16,#디저트맛집,0.15
오죽헌,#아이와함께,0.2,#이색체험,0.15
온달관광지,#사진명소,0.07,#실내데이트,0.07
올림픽공원,#계절명소,0.43,#휴식하기좋은,0.32
외도 보타니아,#뷰맛집,0.25,#디저트맛집,0.16
우도,#뷰맛집,0.2,#계절명소,0.09
울산대공원,#휴식하기좋은,0.07,#산책하기좋은,0.06
웅진플레이도시,#아이와함께,0.46,#이색체험,0.2
웨이브파크,#아이와함께,0.4,#청결한,0.24
의왕레일바이크,#뷰맛집,0.19,#계절명소,0.13
이성당,#디저트맛집,0.84,#웨이팅필수,0.33
이순신공원,#휴식하기좋은,0.26,#산책하기좋은,0.26
이월드,#아이와함께,0.29,#계절명소,0.27
이탈리아마을 피노키오와 다빈치,#아이와함께,0.48,#사진명소,0.32
인스파이어 엔터테인먼트 리조트,#아이와함께,0.13,#친절해요,0.12
임실치즈테마파크,#이색체험,0.15,#아이와함께,0.11
자라섬,#계절명소,0.49,#뷰맛집,0.23
장생포고래문화마을,#이색체험,0.17,#아이와함께,0.14
전주 한옥마을,#찐맛집,0.19,#사진명소,0.1
정방폭포,#뷰맛집,0.32,#실내데이트,0.28
제주돌문화공원,#사진명소,0.27,#휴식하기좋은,0.24
제주신화월드,#아이와함께,0.24,#친절해요,0.21
조양방직,#디저트맛집,0.58,#사진명소,0.19
주문진수산시장,#주차편함,0.19,#친절해요,0.06
죽녹원,#휴식하기좋은,0.33,#산책하기좋은,0.32
죽도 상화원,#휴식하기좋은,0.45,#산책하기좋은,0.44
중앙시장,#친절해요,0.06,#주차편함,0.01
차이나타운,#찐맛집,0.15,#접근성좋은,0.13
창경궁,#계절명소,0.38,#휴식하기좋은,0.26
천리포수목원,#계절명소,0.41,#휴식하기좋은,0.27
천상의정원 수생식물학습원,#뷰맛집,0.32,#계절명소,0.26
천지연폭포,#산책하기좋은,0.22,#휴식하기좋은,0.2
첨성대,#계절명소,0.34,#야경명소,0.28
청계천,#산책하기좋은,0.37,#휴식하기좋은,0.34
청남대,#휴식하기좋은,0.31,#산책하기좋은,0.31
청와대사랑채,#전시관람,0.5,#이색체험,0.29
청풍문화유산단지,#뷰맛집,0.24,#휴식하기좋은,0.2
충주호유람선 장회나루,#뷰맛집,0.4,#가족여행,0.37
카멜리아힐,#계절명소,0.49,#사진명소,0.35
캐리비안 베이,#이색체험,0.26,#웨이팅필수,0.2
타임스퀘어,#친절해요,0.05,#주차편함,0.04
태종대,#뷰맛집,0.19,#주차편함,0.16
태화강 국가정원,#산책하기좋은,0.27,#휴식하기좋은,0.26
통영케이블카,#뷰맛집,0.44,#계절명소,0.17
통인시장,#이색체험,0.15,#찐맛집,0.14
파라다이스시티,#친절해요,0.15,#아이와함께,0.13
퍼스트가든,#아이와함께,0.26,#사진명소,0.24
평화광장,#뷰맛집,0.13,#디저트맛집,0.09
피나클랜드 수목원,#계절명소,0.53,#사진명소,0.31
하늘공원,#뷰맛집,0.41,#계절명소,0.27
하슬라아트월드,#사진명소,0.46,#뷰맛집,0.32
하이원 워터월드,#아이와함께,0.29,#이색체험,0.23
한국민속촌,#이색체험,0.29,#아이와함께,0.28
한림공원,#계절명소,0.27,#휴식하기좋은,0.21
한반도지형,#주차편함,0.23,#뷰맛집,0.2
합천영상테마파크,#사진명소,0.2,#이색체험,0.15
해운대,#뷰맛집,0.24,#휴식하기좋은,0.14
해피초원목장,#아이와함께,0.2,#뷰맛집,0.19
허브아일랜드,#사진명소,0.35,#아이와함께,0.17
헤이리 예술마을,#이색체험,0.14,#휴식하기좋은,0.11
현대 모터스튜디오 고양,#아이와함께,0.67,#전시관람,0.25
현대백화점 더현대 서울,#친절해요,0.07,#디저트맛집,0.07
협재해수욕장,#뷰맛집,0.41,#계절명소,0.13
호미곶,#뷰맛집,0.26,#사진명소,0.17
화담숲,#계절명소,0.4,#휴식하기좋은,0.2
화성행궁,#산책하기좋은,0.16,#휴식하기좋은,0.15
화암동굴,#아이와함께,0.15,#실내데이트,0.09
환선굴,#실내데이트,0.13,#아이와함께,0.09
